MD	TVD	TWT
0	30	0
523.6	553.6	0.544
582.9	612.9	0.607
653.31	683.31	0.675
686.65	716.65	0.712
718.49	748.49	0.748
765.18	795.18	0.794
897.28	927.28	0.932
995.42	1025.42	1.031
1018.84	1048.84	1.051
1027.89	1057.89	1.059
1038.74	1068.74	1.068
1064.12	1094.12	1.086
1104.73	1134.73	1.117
1144.62	1174.62	1.146
1167.08	1197.08	1.165
1222.26	1252.26	1.213
1255.09	1285.09	1.242
1665	1695	1.67
1842	1872	1.861
2606	2636	2.682
2705	2735	2.788
2967.5	2997.5	3.07
2998	3028	3.103
3120	3150	3.234
