MD	TVD	TWT
0	28.64	0
560.5	589.14	0.593
641.9	670.54	0.677
668.48	697.12	0.705
696.61	725.25	0.735
742.6	771.24	0.779
837.65	866.29	0.886
967.33	995.97	1.028
986.6	1015.24	1.042
1001.44	1030.08	1.053
1020.99	1049.63	1.066
1049.28	1077.92	1.087
1085.58	1114.22	1.113
1122.56	1151.2	1.138
1141.43	1170.07	1.152
1196.89	1225.53	1.193
1232.7	1261.34	1.221
