MD	TVD	TWT
0	30	0
456.14	486.14	0.485
492.2	522.2	0.522
534.4	564.4	0.565
534.4	564.4	0.565
534.4	564.4	0.565
559.92	589.92	0.592
580.9	610.9	0.613
646.43	676.43	0.675
685.02	715.02	0.71
805.93	835.93	0.82
860.32	890.32	0.868
927.29	957.29	0.927
1006.94	1036.94	0.995
1043.3	1073.3	1.024
1081.79	1111.79	1.056
1219.72	1249.72	1.178
1617	1647	1.569
1902	1932	1.732
1855	1885	1.698
